                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4946,                 2.9752,                 1.1489,                0.66855,                0.48652,                0.51354,                0.32554,                  1.141,                 1.9822,                 1.0751,               0.070095,              0.0033228,              0.0033228
                      2,                 1.5153,                 1.9692,                 1.1471,                0.68614,                0.55015,                    0.6,                 0.4006,                 1.2594,                 1.8808,                 1.1248,               0.039963,              0.0065243,              0.0065243
                      3,                 1.5122,                 1.7839,                 1.1679,                0.57358,                  0.668,                0.61776,                 0.3969,                 1.2314,                 2.1683,                 1.1473,              0.0096994,              0.0095939,              0.0095939
                      4,                 1.5622,                 1.7744,                 1.2013,                0.68299,                0.56514,                0.63093,                0.40773,                 1.2973,                 1.6516,                 1.1688,               0.009406,               0.009406,               0.009406
                      5,                 1.5156,                 1.6746,                 1.2003,                 0.6915,                0.62028,                0.60914,                0.41611,                 1.2644,                 1.5549,                 1.2285,               0.009406,               0.009406,               0.009406
                      6,                 1.5463,                 1.5976,                  1.202,                0.70829,                0.57757,                0.64603,                0.44152,                 1.2828,                 1.7699,                 1.1605,               0.009208,               0.009208,               0.009208
                      7,                 1.4911,                 1.5239,                 1.1848,                0.68619,                 0.6246,                0.64032,                0.43258,                 1.1983,                 1.6586,                 1.1393,                0.00901,                0.00901,                0.00901
                      8,                 1.5175,                 1.4619,                 1.1882,                0.75888,                0.56531,                0.63025,                0.41405,                 1.2141,                 1.4605,                 1.1776,               0.008812,               0.008812,               0.008812
                      9,                  1.472,                 1.3952,                 1.1726,                0.65172,                0.66317,                0.68507,                0.45387,                 1.1891,                 1.1962,                 1.1368,               0.008614,               0.008614,               0.008614
                     10,                 1.4538,                 1.3181,                 1.1577,                0.65966,                0.67969,                0.69763,                0.47194,                 1.1534,                 1.2596,                 1.1243,               0.008416,               0.008416,               0.008416
                     11,                  1.467,                  1.331,                 1.1625,                0.77205,                0.64107,                0.72323,                0.49916,                 1.1713,                 1.1064,                 1.1466,               0.008218,               0.008218,               0.008218
                     12,                 1.4315,                 1.2516,                  1.147,                0.76614,                  0.688,                0.72629,                0.49815,                 1.2042,                 1.1108,                 1.1451,                0.00802,                0.00802,                0.00802
                     13,                 1.4325,                   1.24,                 1.1563,                0.72397,                0.72151,                0.76831,                0.52639,                 1.1571,                 1.0367,                  1.145,               0.007822,               0.007822,               0.007822
                     14,                  1.417,                 1.2139,                 1.1551,                0.69207,                0.72258,                0.73808,                0.50906,                 1.1946,                 1.0727,                 1.1346,               0.007624,               0.007624,               0.007624
                     15,                  1.386,                 1.1541,                 1.1309,                0.69233,                0.74744,                0.74582,                 0.5187,                 1.1491,                0.98014,                 1.1227,               0.007426,               0.007426,               0.007426
                     16,                 1.3915,                 1.1641,                 1.1372,                0.70629,                0.67207,                0.74336,                0.50976,                 1.1854,                 1.1258,                 1.1645,               0.007228,               0.007228,               0.007228
                     17,                 1.4043,                 1.1231,                 1.1424,                0.78927,                0.64432,                0.72983,                0.50575,                 1.1449,                 1.0619,                 1.1472,                0.00703,                0.00703,                0.00703
                     18,                 1.3509,                 1.1139,                 1.1207,                0.76515,                0.73351,                0.77745,                0.54898,                 1.1218,                 1.0017,                 1.0835,               0.006832,               0.006832,               0.006832
                     19,                 1.3785,                 1.1104,                 1.1291,                0.77433,                0.67155,                0.77898,                0.55729,                 1.0989,                 1.0518,                 1.0676,               0.006634,               0.006634,               0.006634
                     20,                 1.3859,                 1.0855,                 1.1255,                0.71022,                0.71462,                0.73322,                0.49118,                 1.1542,                0.99091,                  1.153,               0.006436,               0.006436,               0.006436
                     21,                 1.3536,                  1.061,                 1.1184,                0.75866,                0.73719,                0.80377,                0.57502,                 1.0999,                 0.8978,                 1.1016,               0.006238,               0.006238,               0.006238
                     22,                 1.3481,                 1.0342,                 1.1111,                0.78263,                0.75207,                0.79806,                0.56563,                 1.1436,                0.85277,                 1.1358,                0.00604,                0.00604,                0.00604
                     23,                 1.3561,                 1.0246,                 1.1218,                0.78349,                0.76257,                0.82094,                0.58121,                 1.0857,                0.85494,                 1.0919,               0.005842,               0.005842,               0.005842
                     24,                 1.3708,                 1.0261,                 1.1225,                 0.7988,                0.73722,                 0.8173,                0.58639,                 1.0872,                0.81585,                 1.1052,               0.005644,               0.005644,               0.005644
                     25,                 1.3073,                 1.0049,                 1.1083,                0.86079,                0.76002,                0.82126,                0.58451,                  1.125,                0.84187,                 1.1164,               0.005446,               0.005446,               0.005446
                     26,                 1.3355,                0.98313,                 1.1132,                 0.8269,                0.76852,                0.83983,                 0.5971,                 1.1068,                0.85106,                 1.0967,               0.005248,               0.005248,               0.005248
                     27,                 1.3224,                0.95251,                 1.0977,                0.81691,                0.75567,                0.81266,                0.57194,                 1.1027,                0.81891,                 1.1114,                0.00505,                0.00505,                0.00505
                     28,                  1.342,                0.96071,                 1.0985,                0.82337,                0.75788,                0.81185,                0.57555,                 1.1002,                0.81463,                 1.0776,               0.004852,               0.004852,               0.004852
                     29,                 1.3394,                0.96711,                 1.1104,                0.81871,                0.79554,                0.84728,                0.60539,                 1.0706,                0.78754,                 1.0846,               0.004654,               0.004654,               0.004654
                     30,                 1.3232,                 0.9439,                 1.0991,                0.81995,                0.76435,                0.82591,                0.59234,                  1.052,                0.78444,                 1.0827,               0.004456,               0.004456,               0.004456
                     31,                 1.3118,                0.94616,                 1.1042,                0.79134,                0.78426,                0.81788,                0.59346,                 1.0764,                0.75911,                 1.0806,               0.004258,               0.004258,               0.004258
                     32,                 1.2945,                0.91787,                  1.086,                0.81149,                0.74395,                0.80117,                0.58784,                 1.0489,                0.80099,                 1.0683,                0.00406,                0.00406,                0.00406
                     33,                 1.2857,                0.90358,                 1.0785,                 0.8402,                0.80389,                0.84702,                0.62062,                 1.0744,                0.75338,                 1.0748,               0.003862,               0.003862,               0.003862
                     34,                 1.2649,                0.88126,                 1.0723,                0.79028,                 0.8106,                0.83363,                0.61616,                 1.0568,                0.77137,                 1.0874,               0.003664,               0.003664,               0.003664
                     35,                 1.2768,                0.89666,                  1.085,                0.81669,                0.80592,                0.85101,                0.63797,                  1.051,                0.76845,                 1.0683,               0.003466,               0.003466,               0.003466
                     36,                 1.2778,                0.90114,                 1.0673,                0.85621,                0.79224,                0.84538,                0.62746,                  1.053,                 0.7492,                 1.0675,               0.003268,               0.003268,               0.003268
                     37,                 1.2673,                 0.8562,                 1.0699,                0.82995,                0.78943,                0.83604,                0.61327,                 1.0651,                0.74238,                 1.0921,                0.00307,                0.00307,                0.00307
                     38,                 1.2839,                0.88137,                 1.0806,                0.79885,                0.77267,                0.82353,                 0.6107,                 1.0388,                0.73845,                 1.0812,               0.002872,               0.002872,               0.002872
                     39,                 1.2505,                0.87615,                  1.072,                0.80897,                 0.7833,                0.83727,                0.61883,                 1.0177,                0.70653,                  1.051,               0.002674,               0.002674,               0.002674
                     40,                 1.2581,                 0.8674,                 1.0734,                0.82587,                0.78482,                0.82632,                0.61682,                 1.0201,                0.73074,                 1.0531,               0.002476,               0.002476,               0.002476
                     41,                 1.1706,                0.80318,                 1.0404,                0.80407,                0.80405,                0.83536,                0.60539,                 1.0372,                0.74054,                 1.0662,               0.002278,               0.002278,               0.002278
                     42,                 1.1762,                0.80164,                  1.041,                0.79732,                0.80075,                 0.8397,                0.60798,                 1.0511,                0.72447,                  1.071,                0.00208,                0.00208,                0.00208
                     43,                 1.1575,                0.79476,                 1.0457,                0.80081,                0.77393,                0.83368,                 0.6064,                 1.0463,                0.72458,                  1.072,               0.001882,               0.001882,               0.001882
                     44,                 1.1581,                0.79082,                 1.0407,                0.83729,                0.76987,                0.82934,                0.60819,                 1.0314,                0.73137,                  1.066,               0.001684,               0.001684,               0.001684
                     45,                 1.1614,                 0.7759,                 1.0352,                0.80033,                 0.7955,                0.83205,                0.61627,                  1.028,                0.73676,                 1.0569,               0.001486,               0.001486,               0.001486
                     46,                 1.1499,                0.76564,                 1.0311,                0.84819,                0.80282,                0.84513,                0.62319,                 1.0309,                 0.7114,                 1.0536,               0.001288,               0.001288,               0.001288
                     47,                 1.1441,                0.73982,                 1.0378,                0.82245,                0.79463,                0.83151,                0.62457,                 1.0038,                0.70514,                 1.0401,                0.00109,                0.00109,                0.00109
                     48,                 1.1473,                0.74985,                 1.0389,                0.81868,                0.80404,                0.83838,                0.62303,                 1.0189,                0.72216,                 1.0436,               0.000892,               0.000892,               0.000892
                     49,                 1.1209,                0.72663,                 1.0287,                0.81385,                0.79913,                0.84708,                0.63171,                 1.0172,                0.69995,                 1.0485,               0.000694,               0.000694,               0.000694
                     50,                 1.1258,                0.72558,                 1.0249,                 0.8221,                0.79359,                0.84354,                0.62914,                 1.0081,                0.71638,                 1.0445,               0.000496,               0.000496,               0.000496
