epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0287,1.69183,3.6502,1.22839,0.00369,0.62821,0.02166,0.01586,1.86857,4.07906,1.23883,0.00324074,0.00324074,0.0708333
2,33.4234,1.73219,2.07395,1.25777,0.00518,0.68803,0.31117,0.203,1.45931,3.69534,1.22679,0.00650899,0.00650899,0.0407682
3,39.8178,1.77052,1.91779,1.26448,0.61838,0.09402,0.17817,0.08647,2.61094,3.7204,2.01672,0.00971124,0.00971124,0.0106372
4,46.2144,1.84198,2.09528,1.29113,0.24315,0.22222,0.14931,0.08899,2.1217,3.6269,1.75959,0.009703,0.009703,0.009703
5,52.5435,1.81899,1.92229,1.29224,0.25445,0.21368,0.14959,0.07648,2.39829,3.536,1.75311,0.009604,0.009604,0.009604
6,58.9557,1.85274,1.89376,1.32585,0.32334,0.17094,0.15197,0.08708,2.1155,6.29964,1.62809,0.009505,0.009505,0.009505
7,65.4588,1.79192,1.76216,1.28644,0.55434,0.3547,0.38686,0.20132,1.82717,2.26358,1.41967,0.009406,0.009406,0.009406
8,71.8352,1.81059,1.65385,1.28349,0.4811,0.2735,0.27703,0.15198,1.99777,3.21187,1.74286,0.009307,0.009307,0.009307
9,78.2181,1.76236,1.67106,1.28611,0.45027,0.33333,0.31923,0.16162,1.97627,2.42779,1.53156,0.009208,0.009208,0.009208
10,84.5373,1.72954,1.61554,1.25896,0.52557,0.26923,0.30572,0.16923,1.84657,2.9722,1.45379,0.009109,0.009109,0.009109
11,90.9742,1.72213,1.54064,1.21913,0.62588,0.32173,0.36863,0.21076,1.81535,2.62444,1.32116,0.00901,0.00901,0.00901
12,97.3514,1.72502,1.49446,1.23431,0.61119,0.38889,0.46396,0.25858,1.81306,2.14436,1.41053,0.008911,0.008911,0.008911
13,103.769,1.71435,1.4381,1.22405,0.44384,0.23192,0.24602,0.13613,2.15788,3.7142,1.70927,0.008812,0.008812,0.008812
14,110.127,1.67475,1.42131,1.21551,0.62381,0.44017,0.49766,0.28244,1.65383,1.79205,1.30571,0.008713,0.008713,0.008713
15,116.499,1.68759,1.39412,1.21033,0.62123,0.49764,0.54484,0.29816,1.65386,1.67208,1.28051,0.008614,0.008614,0.008614
16,122.857,1.64855,1.3277,1.19674,0.53881,0.37179,0.41198,0.22468,1.94103,2.65285,1.52613,0.008515,0.008515,0.008515
17,129.29,1.63147,1.30286,1.1801,0.60915,0.5395,0.54194,0.30622,1.79087,2.31918,1.42635,0.008416,0.008416,0.008416
18,135.649,1.60614,1.28922,1.18135,0.52895,0.40171,0.41825,0.21129,1.94295,2.4694,1.44332,0.008317,0.008317,0.008317
19,141.973,1.63448,1.31022,1.18877,0.57839,0.32051,0.32118,0.1714,2.07841,2.719,1.3669,0.008218,0.008218,0.008218
20,148.354,1.59745,1.24089,1.16903,0.76865,0.53846,0.61678,0.33283,1.66471,1.66621,1.27891,0.008119,0.008119,0.008119
21,154.745,1.58276,1.24072,1.16723,0.43421,0.37179,0.34863,0.18296,2.17157,2.88673,1.69116,0.00802,0.00802,0.00802
22,161.175,1.57497,1.20442,1.15898,0.7465,0.52564,0.64384,0.38141,1.51975,1.31084,1.16414,0.007921,0.007921,0.007921
23,167.548,1.56521,1.173,1.16471,0.66634,0.48647,0.56604,0.32503,1.60808,1.70458,1.20361,0.007822,0.007822,0.007822
24,173.908,1.53339,1.18729,1.1467,0.73026,0.51282,0.6157,0.34143,1.69673,1.7027,1.23587,0.007723,0.007723,0.007723
25,180.738,1.57935,1.15534,1.14942,0.72235,0.62393,0.68758,0.37277,1.61475,1.34224,1.22428,0.007624,0.007624,0.007624
26,187.087,1.49602,1.1145,1.13152,0.75575,0.6453,0.70307,0.3956,1.55331,1.20907,1.17407,0.007525,0.007525,0.007525
27,193.498,1.5126,1.11303,1.12511,0.7814,0.5641,0.68083,0.39891,1.52261,1.20236,1.2028,0.007426,0.007426,0.007426
28,199.868,1.51783,1.10931,1.1236,0.69997,0.57265,0.63723,0.36413,1.61946,1.66344,1.25835,0.007327,0.007327,0.007327
29,206.296,1.51712,1.0943,1.12605,0.77621,0.5781,0.66969,0.38592,1.5242,1.43385,1.17623,0.007228,0.007228,0.007228
30,212.661,1.47299,1.06404,1.11611,0.74407,0.59638,0.70382,0.40222,1.49546,1.28113,1.15483,0.007129,0.007129,0.007129
31,219.058,1.48641,1.0684,1.10457,0.77532,0.58986,0.68389,0.41227,1.50366,1.23883,1.17263,0.00703,0.00703,0.00703
32,225.502,1.46902,1.0134,1.0973,0.80097,0.52137,0.65884,0.3683,1.56857,1.47669,1.23633,0.006931,0.006931,0.006931
33,231.871,1.48571,1.03606,1.11503,0.75058,0.66239,0.73684,0.43037,1.51411,1.21282,1.17145,0.006832,0.006832,0.006832
34,238.273,1.4486,1.00424,1.10039,0.69573,0.70085,0.72855,0.42155,1.56151,1.28391,1.20601,0.006733,0.006733,0.006733
35,244.617,1.42307,0.99146,1.08439,0.80498,0.62393,0.72351,0.41403,1.56786,1.3078,1.19902,0.006634,0.006634,0.006634
36,251.027,1.42065,0.98858,1.0842,0.75232,0.58547,0.69699,0.41361,1.5846,1.46807,1.20853,0.006535,0.006535,0.006535
37,257.445,1.44496,0.9733,1.09474,0.82536,0.55128,0.64767,0.38289,1.58999,1.86878,1.26018,0.006436,0.006436,0.006436
38,263.812,1.41666,0.95084,1.06371,0.78089,0.59397,0.68957,0.38305,1.61764,1.56014,1.24609,0.006337,0.006337,0.006337
39,270.168,1.43223,0.97178,1.09028,0.76874,0.65346,0.73479,0.42383,1.5866,1.34871,1.23002,0.006238,0.006238,0.006238
40,276.488,1.40632,0.93886,1.07113,0.80173,0.63248,0.75287,0.43224,1.60078,1.15131,1.2472,0.006139,0.006139,0.006139
41,282.796,1.3982,0.93451,1.06616,0.79642,0.66239,0.74256,0.42855,1.57682,1.14471,1.22188,0.00604,0.00604,0.00604
42,289.141,1.39222,0.91612,1.05913,0.79786,0.64097,0.72329,0.4201,1.53374,1.16122,1.19929,0.005941,0.005941,0.005941
43,295.529,1.38518,0.91704,1.068,0.82087,0.61966,0.72017,0.42496,1.51765,1.12234,1.17968,0.005842,0.005842,0.005842
44,301.884,1.37468,0.90202,1.05701,0.76914,0.72614,0.77568,0.4599,1.52968,1.09532,1.19234,0.005743,0.005743,0.005743
45,308.247,1.38603,0.91084,1.06663,0.83687,0.64957,0.75677,0.45499,1.60225,1.17265,1.26933,0.005644,0.005644,0.005644
46,314.886,1.36231,0.88981,1.04572,0.89104,0.67949,0.78799,0.48199,1.45681,0.96516,1.15063,0.005545,0.005545,0.005545
47,321.295,1.34587,0.87356,1.0443,0.82369,0.65812,0.75565,0.45525,1.53002,1.00698,1.22418,0.005446,0.005446,0.005446
48,327.708,1.34709,0.86858,1.05089,0.73604,0.70513,0.76605,0.4443,1.55715,1.08076,1.23302,0.005347,0.005347,0.005347
49,334.074,1.33553,0.86114,1.04356,0.87698,0.66667,0.78959,0.46802,1.4755,0.94823,1.15147,0.005248,0.005248,0.005248
50,340.455,1.3141,0.84602,1.02852,0.86647,0.67949,0.79566,0.48578,1.40169,0.8977,1.12822,0.005149,0.005149,0.005149
51,346.801,1.32046,0.85766,1.03976,0.80179,0.6915,0.76305,0.46353,1.45699,0.98483,1.1429,0.00505,0.00505,0.00505
52,353.152,1.33601,0.83599,1.02838,0.83087,0.69658,0.77659,0.46133,1.38176,0.92015,1.11057,0.004951,0.004951,0.004951
53,359.49,1.28451,0.82188,1.03018,0.85559,0.69231,0.78864,0.4845,1.38408,0.92647,1.10433,0.004852,0.004852,0.004852
54,365.845,1.30699,0.8172,1.03441,0.87335,0.67777,0.79247,0.47647,1.49681,1.00615,1.16473,0.004753,0.004753,0.004753
55,372.269,1.30912,0.81962,1.03642,0.80793,0.71903,0.77852,0.4733,1.51443,0.96881,1.17328,0.004654,0.004654,0.004654
56,378.579,1.29305,0.81236,1.03023,0.86741,0.62821,0.74288,0.45624,1.57069,1.20316,1.20034,0.004555,0.004555,0.004555
57,384.912,1.29218,0.82434,1.03143,0.81973,0.68376,0.77817,0.49394,1.40717,1.03766,1.08753,0.004456,0.004456,0.004456
58,391.284,1.29721,0.80305,1.02633,0.78092,0.74641,0.78276,0.48076,1.44162,1.0572,1.11135,0.004357,0.004357,0.004357
59,397.662,1.26986,0.80252,1.02316,0.86187,0.66661,0.78646,0.50459,1.36488,0.90773,1.08629,0.004258,0.004258,0.004258
60,404.091,1.23655,0.78506,1.01306,0.84527,0.69231,0.78781,0.48729,1.34686,0.8929,1.08411,0.004159,0.004159,0.004159
61,410.471,1.25168,0.77229,1.01695,0.85933,0.73099,0.79657,0.48292,1.45854,0.95442,1.1217,0.00406,0.00406,0.00406
62,416.847,1.25558,0.76895,1.01712,0.79776,0.73932,0.78103,0.47597,1.38004,0.96133,1.12332,0.003961,0.003961,0.003961
63,423.213,1.23303,0.75984,1.00947,0.77457,0.77824,0.81589,0.49607,1.36394,0.89012,1.07651,0.003862,0.003862,0.003862
64,429.555,1.23484,0.7615,1.00285,0.8434,0.7265,0.81265,0.48327,1.43309,0.90109,1.11645,0.003763,0.003763,0.003763
65,436.005,1.21721,0.74866,1.00502,0.80659,0.74359,0.81091,0.49923,1.42139,0.93292,1.12176,0.003664,0.003664,0.003664
66,442.326,1.21358,0.74897,1.0052,0.78991,0.75519,0.80451,0.49255,1.38886,0.87499,1.09479,0.003565,0.003565,0.003565
67,448.665,1.20785,0.7333,0.992,0.86127,0.71368,0.80296,0.49839,1.38611,0.94612,1.08336,0.003466,0.003466,0.003466
68,455.043,1.21079,0.71635,0.99457,0.82128,0.72661,0.8025,0.49493,1.40009,0.90994,1.10702,0.003367,0.003367,0.003367
69,461.419,1.18979,0.7201,0.98974,0.85027,0.73077,0.81182,0.49891,1.36663,0.84462,1.09045,0.003268,0.003268,0.003268
70,467.749,1.19021,0.72942,0.98327,0.78282,0.7735,0.79878,0.49613,1.35609,0.86351,1.0916,0.003169,0.003169,0.003169
71,474.083,1.21083,0.72737,0.99674,0.8473,0.75214,0.82519,0.51441,1.37718,0.83117,1.10028,0.00307,0.00307,0.00307
72,480.47,1.18304,0.71834,0.98646,0.8578,0.74761,0.8084,0.49822,1.48952,0.87547,1.18034,0.002971,0.002971,0.002971
73,486.741,1.18551,0.71684,0.97904,0.84019,0.71897,0.78814,0.49291,1.38445,0.91478,1.0961,0.002872,0.002872,0.002872
74,493.05,1.16286,0.70252,0.97762,0.84666,0.72222,0.8098,0.50933,1.38198,0.85413,1.09793,0.002773,0.002773,0.002773
75,499.387,1.1616,0.70168,0.97875,0.8466,0.73116,0.81362,0.51705,1.32558,0.81847,1.07802,0.002674,0.002674,0.002674
76,505.755,1.14567,0.67822,0.9743,0.8518,0.76144,0.81659,0.50682,1.43353,0.8907,1.16192,0.002575,0.002575,0.002575
77,512.079,1.13313,0.67395,0.97392,0.82688,0.77563,0.82306,0.51313,1.35698,0.86526,1.09472,0.002476,0.002476,0.002476
78,518.431,1.14369,0.67789,0.9705,0.8625,0.75057,0.81745,0.51426,1.38043,0.89202,1.10538,0.002377,0.002377,0.002377
79,524.735,1.11633,0.66823,0.96579,0.85867,0.77896,0.83537,0.52198,1.39549,0.81755,1.13241,0.002278,0.002278,0.002278
80,531.28,1.10884,0.6452,0.96373,0.86901,0.76923,0.82789,0.52324,1.35202,0.82611,1.08531,0.002179,0.002179,0.002179
81,537.561,1.10409,0.65003,0.96333,0.89272,0.73932,0.82927,0.50777,1.37517,0.84114,1.09228,0.00208,0.00208,0.00208
82,543.921,1.11391,0.65448,0.96137,0.82792,0.76923,0.81627,0.5167,1.37071,0.8238,1.10592,0.001981,0.001981,0.001981
83,550.486,1.1103,0.65546,0.96214,0.86855,0.76239,0.82607,0.52605,1.30934,0.78845,1.05987,0.001882,0.001882,0.001882
84,556.89,1.09428,0.64669,0.95298,0.86222,0.7488,0.81793,0.52973,1.29283,0.79058,1.05168,0.001783,0.001783,0.001783
85,563.277,1.08624,0.63898,0.95752,0.92297,0.72222,0.81809,0.52397,1.30517,0.83553,1.05217,0.001684,0.001684,0.001684
86,569.7,1.08356,0.63278,0.95327,0.88332,0.74412,0.82576,0.52505,1.28909,0.81247,1.04991,0.001585,0.001585,0.001585
87,576.027,1.06557,0.62728,0.94925,0.87086,0.7735,0.83903,0.53299,1.27734,0.78171,1.04709,0.001486,0.001486,0.001486
88,582.379,1.06704,0.6187,0.94848,0.88066,0.76923,0.83413,0.52236,1.3327,0.86087,1.07031,0.001387,0.001387,0.001387
89,588.762,1.06424,0.63509,0.947,0.88391,0.76068,0.83987,0.53726,1.36353,0.80123,1.1076,0.001288,0.001288,0.001288
90,595.128,1.05643,0.61653,0.9483,0.89009,0.76137,0.84722,0.53604,1.36308,0.80358,1.07559,0.001189,0.001189,0.001189
91,603.07,1.10201,0.64578,0.96459,0.91521,0.73801,0.84303,0.53553,1.31332,0.77745,1.05435,0.00109,0.00109,0.00109
92,609.472,1.06376,0.60793,0.94713,0.90159,0.78632,0.84666,0.53417,1.31519,0.74756,1.06642,0.000991,0.000991,0.000991
93,615.798,1.06219,0.60613,0.95267,0.88777,0.76496,0.84433,0.52621,1.33587,0.78853,1.07339,0.000892,0.000892,0.000892
94,622.142,1.0316,0.58947,0.94438,0.8976,0.74917,0.84377,0.5276,1.3392,0.79355,1.07005,0.000793,0.000793,0.000793
95,628.485,1.03574,0.58559,0.94383,0.91693,0.7547,0.84407,0.53916,1.31035,0.79281,1.06951,0.000694,0.000694,0.000694
96,634.877,1.02754,0.58436,0.94612,0.90174,0.78435,0.84827,0.53493,1.3071,0.80098,1.07037,0.000595,0.000595,0.000595
97,641.212,1.00153,0.56941,0.93973,0.90475,0.77123,0.84608,0.53003,1.27971,0.76752,1.05976,0.000496,0.000496,0.000496
98,647.574,1.0083,0.57239,0.93437,0.9069,0.7735,0.84182,0.53139,1.28501,0.79051,1.05596,0.000397,0.000397,0.000397
99,653.922,0.97926,0.55357,0.92884,0.91656,0.76496,0.83453,0.53368,1.30754,0.78611,1.07212,0.000298,0.000298,0.000298
100,660.534,0.99656,0.56769,0.93523,0.93736,0.76923,0.84209,0.54073,1.29886,0.7983,1.06728,0.000199,0.000199,0.000199
