epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.641,4.49957,2.54955,2.347,0.48332,0.22466,0.21933,0.10492,2.36948,1.39309,1.47073,0.00333181,0.00333181,0.0700137
2,982.35,2.40856,1.37327,1.43757,0.37756,0.30674,0.29142,0.14536,2.1031,1.17,1.33433,0.00666352,0.00666352,0.0400121
3,1468.69,2.26791,1.26975,1.35985,0.42394,0.34091,0.32908,0.1663,2.02677,1.09532,1.28174,0.00998871,0.00998871,0.0100039
4,1955.15,2.16977,1.20099,1.30106,0.46977,0.3783,0.3741,0.19349,1.94532,1.02711,1.22775,0.00997803,0.00997803,0.00997803
5,2441.8,2.0928,1.13967,1.25484,0.50223,0.39421,0.4109,0.21858,1.90339,0.97877,1.19721,0.00996097,0.00996097,0.00996097
6,2928.63,2.05208,1.10326,1.22667,0.63106,0.40319,0.43463,0.23438,1.87768,0.95086,1.17241,0.00993906,0.00993906,0.00993906
7,3415,2.02261,1.07694,1.20518,0.55504,0.40954,0.45102,0.24613,1.8574,0.92919,1.15616,0.00991232,0.00991232,0.00991232
8,3900.08,2.00008,1.05686,1.1883,0.54576,0.42952,0.46368,0.25403,1.84151,0.91301,1.14386,0.00988079,0.00988079,0.00988079
9,4385.63,1.98329,1.04231,1.17735,0.56172,0.4305,0.47052,0.25865,1.83101,0.90066,1.13548,0.00984449,0.00984449,0.00984449
10,4871.31,1.96782,1.0287,1.16753,0.57247,0.43371,0.47804,0.26433,1.82285,0.89229,1.12836,0.00980345,0.00980345,0.00980345
11,5357.57,1.9601,1.02084,1.16141,0.57356,0.44111,0.4827,0.26666,1.81557,0.88448,1.12312,0.00975773,0.00975773,0.00975773
12,5843.84,1.94928,1.01115,1.15458,0.68795,0.44171,0.48735,0.26952,1.81114,0.87821,1.11936,0.00970736,0.00970736,0.00970736
13,6329.96,1.94051,1.00371,1.14905,0.69148,0.44293,0.48947,0.27173,1.80772,0.87335,1.11685,0.00965239,0.00965239,0.00965239
14,6816.4,1.93795,1.00014,1.14667,0.69304,0.44073,0.49199,0.27387,1.80474,0.86979,1.11453,0.00959289,0.00959289,0.00959289
15,7303.43,1.92803,0.99196,1.1408,0.69814,0.44296,0.494,0.2752,1.80228,0.86705,1.11252,0.00952889,0.00952889,0.00952889
16,7790.65,1.92261,0.98792,1.13725,0.69302,0.44535,0.49591,0.2763,1.80013,0.86489,1.11071,0.00946048,0.00946048,0.00946048
17,8278.93,1.92094,0.98284,1.13408,0.69468,0.44725,0.49821,0.27753,1.79818,0.86319,1.10902,0.00938772,0.00938772,0.00938772
18,8768.06,1.91551,0.97937,1.13101,0.68813,0.45097,0.49999,0.2785,1.79659,0.86196,1.10752,0.00931067,0.00931067,0.00931067
19,9257.25,1.91054,0.97534,1.12813,0.68795,0.45109,0.50136,0.27958,1.79516,0.86089,1.10616,0.00922942,0.00922942,0.00922942
20,9746.17,1.90806,0.97345,1.12658,0.69056,0.45268,0.50242,0.28025,1.79397,0.85984,1.10493,0.00914405,0.00914405,0.00914405
21,10234.1,1.90397,0.97097,1.12273,0.68804,0.45445,0.50393,0.28124,1.79275,0.85883,1.10362,0.00905463,0.00905463,0.00905463
22,10722.5,1.90113,0.96833,1.12097,0.69103,0.45453,0.50504,0.282,1.79163,0.85791,1.10235,0.00896127,0.00896127,0.00896127
23,11211.3,1.89815,0.96571,1.11867,0.69124,0.45637,0.50651,0.28283,1.791,0.85716,1.10112,0.00886404,0.00886404,0.00886404
24,11700.4,1.89532,0.961,1.11569,0.68545,0.46168,0.50823,0.28374,1.79017,0.85636,1.09991,0.00876305,0.00876305,0.00876305
25,12188.6,1.89151,0.95893,1.11405,0.69017,0.4601,0.50943,0.28464,1.78921,0.85534,1.09869,0.00865839,0.00865839,0.00865839
26,12678,1.88947,0.95788,1.11252,0.68997,0.46205,0.51081,0.2855,1.78799,0.85438,1.09736,0.00855018,0.00855018,0.00855018
